EventID,EventType,Severity,Status,EventDate,DueDate,CloseDate,AgeDays_AsOf,SLA_Days,BookingLocation,Region,Team,Product,AmountCHF,MandatoryFieldsMissingCount,ExceptionReason,RootCause,SourceSystem,ClientSegment
E0000004,Reconciliation Break,Medium,Open,2025-01-01,,,364.0,7,Zurich,EMEA,Operations,Discretionary,149144.43479898258,0,Over SLA,System,Email Intake,
E0000008,Processing Error,Low,Open,2025-01-01,,,364.0,14,Zurich,EMEA,Operations,Execution-only,,0,Over SLA,Process,Workflow,
E0000061,Overdue Task,Medium,Open,2025-01-02,2025-01-09,,363.0,7,Zurich,EMEA,Front Office,Execution-only,,0,Over SLA; Overdue,Process,Workflow,HNW
E0000073,Processing Error,High,Open,2025-01-02,,,363.0,14,Geneva,EMEA,Front Office,Execution-only,,0,Over SLA; High/Critical Severity,Process,Core Banking,
E0000074,Processing Error,Medium,Open,2025-01-02,,,363.0,14,London,EMEA,Operations,Advisory,,0,Over SLA,Data,Workflow,
E0000077,Reconciliation Break,Critical,Open,2025-01-02,,,363.0,7,London,EMEA,Operations,Discretionary,30564.760900268626,1,Over SLA; High/Critical Severity; Missing Mandatory Fields,Process,Monitoring Tool,
E0000078,High-Risk Transaction,Medium,Open,2025-01-02,,,363.0,10,London,EMEA,Front Office,Execution-only,109974.18403069738,0,Over SLA,Process,Email Intake,
E0000088,High-Risk Transaction,Critical,Open,2025-01-02,,,363.0,10,London,EMEA,Front Office,Lombard Lending,99541.65362210709,0,Over SLA; High/Critical Severity,Third-party,Workflow,
E0000090,Data Quality Issue,Medium,Open,2025-01-02,,,363.0,14,London,EMEA,Operations,Lombard Lending,,4,Over SLA; Missing Mandatory Fields,Data,Core Banking,
E0000099,Reconciliation Break,Medium,Open,2025-01-02,,,363.0,7,New York,Americas,Operations,Execution-only,16563.604396306622,0,Over SLA,Third-party,Workflow,
E0000106,High-Risk Transaction,Low,Open,2025-01-02,,,363.0,10,Singapore,APAC,Front Office,Advisory,48943.293557533325,0,Over SLA,System,Workflow,
E0000117,Reconciliation Break,Low,Open,2025-01-03,,,362.0,7,Zurich,EMEA,Operations,Advisory,55952.90380207663,0,Over SLA,Third-party,Email Intake,
E0000123,Processing Error,High,Open,2025-01-03,,,362.0,14,Zurich,EMEA,Operations,Execution-only,13323.746011399193,0,Over SLA; High/Critical Severity,Manual,CRM,
E0000127,Incident,High,Open,2025-01-03,,,362.0,30,Zurich,EMEA,Operations,Lombard Lending,,0,Over SLA; High/Critical Severity,Manual,Core Banking,
E0000140,Overdue Task,Medium,Open,2025-01-03,2025-01-10,,362.0,7,London,EMEA,Front Office,Discretionary,,0,Over SLA; Overdue,Process,Core Banking,HNW
E0000145,Incident,High,Open,2025-01-03,,,362.0,30,London,EMEA,Client Onboarding,Execution-only,,0,Over SLA; High/Critical Severity,System,Email Intake,
E0000152,High-Risk Transaction,Medium,Open,2025-01-03,,,362.0,10,New York,Americas,Front Office,Structured Products,65812.51214421389,0,Over SLA,Manual,Monitoring Tool,
E0000155,Processing Error,Medium,Open,2025-01-03,,,362.0,14,Singapore,APAC,Front Office,Advisory,,0,Over SLA,System,CRM,
E0000170,High-Risk Transaction,Low,Open,2025-01-03,,,362.0,10,Hong Kong,APAC,Client Onboarding,Execution-only,59742.396318097875,0,Over SLA,Manual,Email Intake,
E0000195,Reconciliation Break,Low,Open,2025-01-04,,,361.0,7,London,EMEA,Operations,Structured Products,21309.63043056187,0,Over SLA,Process,Monitoring Tool,
E0000201,Complaint,Low,Open,2025-01-04,,,361.0,20,Singapore,APAC,Front Office,Discretionary,,0,Over SLA,Policy/Guidance,Workflow,UHNW
E0000202,Processing Error,High,Open,2025-01-04,,,361.0,14,Singapore,APAC,Operations,Discretionary,50658.22994991729,0,Over SLA; High/Critical Severity,Process,CRM,
E0000204,Data Quality Issue,Medium,Open,2025-01-04,,,361.0,14,Singapore,APAC,Compliance & Controls,Discretionary,,2,Over SLA; Missing Mandatory Fields,Manual,CRM,
E0000214,Data Quality Issue,Medium,Open,2025-01-04,,,361.0,14,Hong Kong,APAC,Client Onboarding,Execution-only,,0,Over SLA,Process,Email Intake,
E0000226,Processing Error,Low,Open,2025-01-05,,,360.0,14,Geneva,EMEA,Operations,Execution-only,,0,Over SLA,Manual,CRM,
E0000235,High-Risk Transaction,Medium,Open,2025-01-05,,,360.0,10,New York,Americas,Operations,Discretionary,48180.029385006426,0,Over SLA,Manual,Email Intake,
E0000246,KYC Review Overdue,Low,Open,2025-01-05,2025-02-04,,360.0,30,Hong Kong,APAC,Front Office,Execution-only,,2,Over SLA; Overdue; Missing Mandatory Fields,Process,CRM,Affluent
E0000251,Processing Error,High,Open,2025-01-06,,,359.0,14,Zurich,EMEA,Operations,Discretionary,6954.359270537411,0,Over SLA; High/Critical Severity,Third-party,CRM,
E0000266,Processing Error,Low,Open,2025-01-06,,,359.0,14,Geneva,EMEA,Operations,Advisory,,0,Over SLA,Manual,Workflow,
E0000280,Data Quality Issue,Low,Open,2025-01-06,,,359.0,14,London,EMEA,Operations,Discretionary,,1,Over SLA; Missing Mandatory Fields,Data,Workflow,
E0000303,High-Risk Transaction,Medium,Open,2025-01-06,,,359.0,10,Singapore,APAC,Front Office,Execution-only,55918.91328950003,0,Over SLA,System,Email Intake,
E0000305,Limit Breach,High,Open,2025-01-06,,,359.0,10,Singapore,APAC,Operations,Lombard Lending,34124.33065635623,0,Over SLA; High/Critical Severity,Manual,Core Banking,
E0000311,Processing Error,High,Open,2025-01-06,,,359.0,14,Hong Kong,APAC,Operations,Discretionary,,0,Over SLA; High/Critical Severity,System,Monitoring Tool,
E0000314,Processing Error,Low,Open,2025-01-06,,,359.0,14,Hong Kong,APAC,Operations,Execution-only,,0,Over SLA,Manual,Monitoring Tool,
E0000321,Processing Error,Low,Open,2025-01-07,,,358.0,14,Zurich,EMEA,Compliance & Controls,Advisory,25369.685519801293,0,Over SLA,Process,CRM,
