EventID,EventType,EventDate,CloseDate,Status,BookingLocation,Region,Team,Product,Severity,RootCause,AmountCHF,IsRepeat,MandatoryFieldsMissingCount,SLA_Days,DueDate,IsSubstantiated,ClientSegment,SourceSystem,YearMonth
E0000001,High-Risk Transaction,2025-01-01,2025-01-08,Closed,Zurich,EMEA,Front Office,Advisory,Medium,Process,83195.78002034065,0,0,10,,,,Workflow,2025-01
E0000002,Processing Error,2025-01-01,2025-01-14,Closed,Zurich,EMEA,Operations,Advisory,Medium,Process,,0,0,14,,,,Email Intake,2025-01
E0000003,Data Quality Issue,2025-01-01,2025-01-01,Closed,Zurich,EMEA,Front Office,Discretionary,Low,Manual,,0,0,14,,,,CRM,2025-01
E0000004,Reconciliation Break,2025-01-01,,Open,Zurich,EMEA,Operations,Discretionary,Medium,System,149144.43479898258,0,0,7,,,,Email Intake,2025-01
E0000005,High-Risk Transaction,2025-01-01,2025-01-01,Closed,Zurich,EMEA,Compliance & Controls,Discretionary,Low,Process,89671.95899893882,0,0,10,,,,Workflow,2025-01
E0000006,High-Risk Transaction,2025-01-01,2025-01-10,Closed,Zurich,EMEA,Front Office,Execution-only,Medium,Process,10703.42201491319,0,0,10,,,,Workflow,2025-01
E0000007,Reconciliation Break,2025-01-01,2025-02-16,Closed,Zurich,EMEA,Front Office,Execution-only,Critical,Policy/Guidance,7104.875616435913,0,0,7,,,,Core Banking,2025-01
E0000008,Processing Error,2025-01-01,,Open,Zurich,EMEA,Operations,Execution-only,Low,Process,,0,0,14,,,,Workflow,2025-01
E0000009,Processing Error,2025-01-01,2025-01-08,Closed,Zurich,EMEA,Operations,Execution-only,Low,Process,,0,0,14,,,,CRM,2025-01
E0000010,Processing Error,2025-01-01,2025-01-04,Closed,Zurich,EMEA,Operations,Execution-only,Medium,Manual,11410.680808042196,0,0,14,,,,CRM,2025-01
E0000011,Processing Error,2025-01-01,2025-01-05,Closed,Geneva,EMEA,Operations,Advisory,Low,Process,,0,0,14,,,,Email Intake,2025-01
E0000012,Processing Error,2025-01-01,2025-01-04,Closed,London,EMEA,Operations,Advisory,Low,Manual,15831.956763355955,0,0,14,,,,Email Intake,2025-01
E0000013,High-Risk Transaction,2025-01-01,2025-01-05,Closed,London,EMEA,Compliance & Controls,Advisory,Low,Manual,223131.718709893,0,0,10,,,,Monitoring Tool,2025-01
E0000014,High-Risk Transaction,2025-01-01,2025-01-08,Closed,London,EMEA,Front Office,Discretionary,Low,Process,5890.095631838234,0,0,10,,,,Monitoring Tool,2025-01
E0000015,High-Risk Transaction,2025-01-01,2025-01-15,Closed,London,EMEA,Operations,Discretionary,Medium,Manual,60006.711863316814,0,0,10,,,,CRM,2025-01
E0000016,Reconciliation Break,2025-01-01,2025-01-07,Closed,London,EMEA,Operations,Discretionary,Low,Process,46260.7126519087,0,0,7,,,,Monitoring Tool,2025-01
E0000017,Data Quality Issue,2025-01-01,2025-01-01,Closed,London,EMEA,Operations,Discretionary,Low,Process,,0,2,14,,,,CRM,2025-01
E0000018,High-Risk Transaction,2025-01-01,2025-01-10,Closed,London,EMEA,Front Office,Execution-only,Low,System,72700.25777379093,0,1,10,,,,Email Intake,2025-01
E0000019,Data Quality Issue,2025-01-01,2025-01-04,Closed,London,EMEA,Front Office,Execution-only,Low,Process,,0,0,14,,,,Workflow,2025-01
E0000020,Data Quality Issue,2025-01-01,2025-01-04,Closed,London,EMEA,Operations,Execution-only,Low,Process,,0,1,14,,,,Monitoring Tool,2025-01
E0000021,Limit Breach,2025-01-01,2025-01-13,Closed,London,EMEA,Front Office,Lombard Lending,Medium,Process,14955.44161227423,0,0,10,,,,Workflow,2025-01
E0000022,Processing Error,2025-01-01,2025-01-14,Closed,London,EMEA,Operations,Lombard Lending,Medium,Process,,0,0,14,,,,Monitoring Tool,2025-01
E0000023,Processing Error,2025-01-01,2025-01-17,Closed,London,EMEA,Operations,Structured Products,High,Process,,0,0,14,,,,Workflow,2025-01
E0000024,Reconciliation Break,2025-01-01,2025-01-02,Closed,London,EMEA,Compliance & Controls,Structured Products,Low,Manual,28395.08342755947,0,0,7,,,,CRM,2025-01
E0000025,Incident,2025-01-01,2025-01-12,Closed,New York,Americas,Operations,Advisory,Medium,Process,14763.265824104328,1,0,30,,,,Monitoring Tool,2025-01
E0000026,Processing Error,2025-01-01,2025-01-03,Closed,New York,Americas,Operations,Discretionary,Low,Process,,0,0,14,,,,Email Intake,2025-01
E0000027,Processing Error,2025-01-01,2025-01-10,Closed,New York,Americas,Front Office,Execution-only,Medium,Third-party,,0,0,14,,,,Core Banking,2025-01
