Date,BookingLocation,Region,Team,Product,TransactionsCount,ClientsCount,YearMonth
2025-01-01,Zurich,EMEA,Front Office,Advisory,1090,54,2025-01
2025-01-01,Zurich,EMEA,Operations,Advisory,847,29,2025-01
2025-01-01,Zurich,EMEA,Client Onboarding,Advisory,294,7,2025-01
2025-01-01,Zurich,EMEA,Compliance & Controls,Advisory,158,4,2025-01
2025-01-01,Zurich,EMEA,Front Office,Discretionary,1199,61,2025-01
2025-01-01,Zurich,EMEA,Operations,Discretionary,971,24,2025-01
2025-01-01,Zurich,EMEA,Client Onboarding,Discretionary,320,7,2025-01
2025-01-01,Zurich,EMEA,Compliance & Controls,Discretionary,179,5,2025-01
2025-01-01,Zurich,EMEA,Front Office,Execution-only,1545,82,2025-01
2025-01-01,Zurich,EMEA,Operations,Execution-only,1295,32,2025-01
2025-01-01,Zurich,EMEA,Client Onboarding,Execution-only,375,14,2025-01
2025-01-01,Zurich,EMEA,Compliance & Controls,Execution-only,233,5,2025-01
2025-01-01,Zurich,EMEA,Front Office,Lombard Lending,687,34,2025-01
2025-01-01,Zurich,EMEA,Operations,Lombard Lending,487,11,2025-01
2025-01-01,Zurich,EMEA,Client Onboarding,Lombard Lending,170,6,2025-01
2025-01-01,Zurich,EMEA,Compliance & Controls,Lombard Lending,85,5,2025-01
2025-01-01,Zurich,EMEA,Front Office,Structured Products,429,27,2025-01
2025-01-01,Zurich,EMEA,Operations,Structured Products,348,8,2025-01
2025-01-01,Zurich,EMEA,Client Onboarding,Structured Products,103,10,2025-01
2025-01-01,Zurich,EMEA,Compliance & Controls,Structured Products,54,3,2025-01
2025-01-01,Geneva,EMEA,Front Office,Advisory,702,26,2025-01
2025-01-01,Geneva,EMEA,Operations,Advisory,550,15,2025-01
2025-01-01,Geneva,EMEA,Client Onboarding,Advisory,183,6,2025-01
2025-01-01,Geneva,EMEA,Compliance & Controls,Advisory,108,1,2025-01
2025-01-01,Geneva,EMEA,Front Office,Discretionary,816,27,2025-01
2025-01-01,Geneva,EMEA,Operations,Discretionary,630,15,2025-01
2025-01-01,Geneva,EMEA,Client Onboarding,Discretionary,187,6,2025-01
2025-01-01,Geneva,EMEA,Compliance & Controls,Discretionary,118,1,2025-01
2025-01-01,Geneva,EMEA,Front Office,Execution-only,983,47,2025-01
2025-01-01,Geneva,EMEA,Operations,Execution-only,801,34,2025-01
2025-01-01,Geneva,EMEA,Client Onboarding,Execution-only,238,13,2025-01
2025-01-01,Geneva,EMEA,Compliance & Controls,Execution-only,164,4,2025-01
2025-01-01,Geneva,EMEA,Front Office,Lombard Lending,431,14,2025-01
2025-01-01,Geneva,EMEA,Operations,Lombard Lending,347,8,2025-01
2025-01-01,Geneva,EMEA,Client Onboarding,Lombard Lending,97,5,2025-01
2025-01-01,Geneva,EMEA,Compliance & Controls,Lombard Lending,60,2,2025-01
2025-01-01,Geneva,EMEA,Front Office,Structured Products,305,16,2025-01
2025-01-01,Geneva,EMEA,Operations,Structured Products,228,4,2025-01
2025-01-01,Geneva,EMEA,Client Onboarding,Structured Products,67,6,2025-01
2025-01-01,Geneva,EMEA,Compliance & Controls,Structured Products,50,1,2025-01
2025-01-01,London,EMEA,Front Office,Advisory,906,44,2025-01
2025-01-01,London,EMEA,Operations,Advisory,680,23,2025-01
2025-01-01,London,EMEA,Client Onboarding,Advisory,236,16,2025-01
2025-01-01,London,EMEA,Compliance & Controls,Advisory,138,4,2025-01
2025-01-01,London,EMEA,Front Office,Discretionary,979,45,2025-01
2025-01-01,London,EMEA,Operations,Discretionary,768,16,2025-01
2025-01-01,London,EMEA,Client Onboarding,Discretionary,249,9,2025-01
2025-01-01,London,EMEA,Compliance & Controls,Discretionary,156,2,2025-01
2025-01-01,London,EMEA,Front Office,Execution-only,1267,60,2025-01
2025-01-01,London,EMEA,Operations,Execution-only,1015,30,2025-01
2025-01-01,London,EMEA,Client Onboarding,Execution-only,308,4,2025-01
2025-01-01,London,EMEA,Compliance & Controls,Execution-only,206,5,2025-01
2025-01-01,London,EMEA,Front Office,Lombard Lending,534,26,2025-01
2025-01-01,London,EMEA,Operations,Lombard Lending,425,13,2025-01
2025-01-01,London,EMEA,Client Onboarding,Lombard Lending,141,2,2025-01
2025-01-01,London,EMEA,Compliance & Controls,Lombard Lending,83,3,2025-01
2025-01-01,London,EMEA,Front Office,Structured Products,363,15,2025-01
2025-01-01,London,EMEA,Operations,Structured Products,315,3,2025-01
2025-01-01,London,EMEA,Client Onboarding,Structured Products,95,2,2025-01
