YearMonth,Region,BookingLocation,Team,Product,KRI_ID,KRI_Value
2025-01,APAC,Hong Kong,Client Onboarding,Advisory,KRI_01,0.22993791676247413
2025-01,APAC,Hong Kong,Client Onboarding,Discretionary,KRI_01,0.0
2025-01,APAC,Hong Kong,Client Onboarding,Execution-only,KRI_01,0.0
2025-01,APAC,Hong Kong,Client Onboarding,Lombard Lending,KRI_01,0.0
2025-01,APAC,Hong Kong,Client Onboarding,Structured Products,KRI_01,0.5630630630630631
2025-01,APAC,Hong Kong,Compliance & Controls,Advisory,KRI_01,0.0
2025-01,APAC,Hong Kong,Compliance & Controls,Discretionary,KRI_01,0.0
2025-01,APAC,Hong Kong,Compliance & Controls,Execution-only,KRI_01,0.0
2025-01,APAC,Hong Kong,Compliance & Controls,Lombard Lending,KRI_01,0.0
2025-01,APAC,Hong Kong,Compliance & Controls,Structured Products,KRI_01,0.0
2025-01,APAC,Hong Kong,Front Office,Advisory,KRI_01,0.11371389583807141
2025-01,APAC,Hong Kong,Front Office,Discretionary,KRI_01,0.10255884313624943
2025-01,APAC,Hong Kong,Front Office,Execution-only,KRI_01,0.04102059233735335
2025-01,APAC,Hong Kong,Front Office,Lombard Lending,KRI_01,0.4742033383915023
2025-01,APAC,Hong Kong,Front Office,Structured Products,KRI_01,0.2900232018561485
2025-01,APAC,Hong Kong,Operations,Advisory,KRI_01,0.4913659974729749
2025-01,APAC,Hong Kong,Operations,Discretionary,KRI_01,0.38812342324859306
2025-01,APAC,Hong Kong,Operations,Execution-only,KRI_01,0.2007226013649137
2025-01,APAC,Hong Kong,Operations,Lombard Lending,KRI_01,0.1187507421921387
2025-01,APAC,Hong Kong,Operations,Structured Products,KRI_01,0.6999125109361329
2025-01,APAC,Singapore,Client Onboarding,Advisory,KRI_01,0.21427040925648166
2025-01,APAC,Singapore,Client Onboarding,Discretionary,KRI_01,0.37509377344336087
2025-01,APAC,Singapore,Client Onboarding,Execution-only,KRI_01,0.0
2025-01,APAC,Singapore,Client Onboarding,Lombard Lending,KRI_01,0.0
2025-01,APAC,Singapore,Client Onboarding,Structured Products,KRI_01,0.0
2025-01,APAC,Singapore,Compliance & Controls,Advisory,KRI_01,0.3597122302158273
2025-01,APAC,Singapore,Compliance & Controls,Discretionary,KRI_01,0.3198976327575176
2025-01,APAC,Singapore,Compliance & Controls,Execution-only,KRI_01,0.496031746031746
2025-01,APAC,Singapore,Compliance & Controls,Lombard Lending,KRI_01,0.0
