YearMonth,Region,BookingLocation,Team,Product,RiskScore_0to100
2025-01,APAC,Hong Kong,Client Onboarding,Advisory,19.545454545454543
2025-01,APAC,Hong Kong,Client Onboarding,Discretionary,3.181818181818182
2025-01,APAC,Hong Kong,Client Onboarding,Execution-only,24.545454545454547
2025-01,APAC,Hong Kong,Client Onboarding,Lombard Lending,5.454545454545453
2025-01,APAC,Hong Kong,Client Onboarding,Structured Products,20.454545454545453
2025-01,APAC,Hong Kong,Compliance & Controls,Advisory,10.0
2025-01,APAC,Hong Kong,Compliance & Controls,Discretionary,3.181818181818182
2025-01,APAC,Hong Kong,Compliance & Controls,Execution-only,7.2727272727272725
2025-01,APAC,Hong Kong,Compliance & Controls,Lombard Lending,5.454545454545453
2025-01,APAC,Hong Kong,Compliance & Controls,Structured Products,5.454545454545453
2025-01,APAC,Hong Kong,Front Office,Advisory,16.36363636363636
2025-01,APAC,Hong Kong,Front Office,Discretionary,11.363636363636363
2025-01,APAC,Hong Kong,Front Office,Execution-only,37.72727272727272
2025-01,APAC,Hong Kong,Front Office,Lombard Lending,26.363636363636367
2025-01,APAC,Hong Kong,Front Office,Structured Products,31.363636363636367
2025-01,APAC,Hong Kong,Operations,Advisory,29.54545454545454
2025-01,APAC,Hong Kong,Operations,Discretionary,30.000000000000004
2025-01,APAC,Hong Kong,Operations,Execution-only,28.636363636363633
2025-01,APAC,Hong Kong,Operations,Lombard Lending,21.36363636363636
2025-01,APAC,Hong Kong,Operations,Structured Products,33.18181818181819
2025-01,APAC,Singapore,Client Onboarding,Advisory,10.909090909090907
2025-01,APAC,Singapore,Client Onboarding,Discretionary,24.545454545454547
2025-01,APAC,Singapore,Client Onboarding,Execution-only,3.6363636363636362
2025-01,APAC,Singapore,Client Onboarding,Lombard Lending,8.636363636363635
2025-01,APAC,Singapore,Client Onboarding,Structured Products,0.0
2025-01,APAC,Singapore,Compliance & Controls,Advisory,25.90909090909091
2025-01,APAC,Singapore,Compliance & Controls,Discretionary,25.454545454545457
2025-01,APAC,Singapore,Compliance & Controls,Execution-only,23.636363636363637
2025-01,APAC,Singapore,Compliance & Controls,Lombard Lending,0.0
2025-01,APAC,Singapore,Compliance & Controls,Structured Products,0.0
2025-01,APAC,Singapore,Front Office,Advisory,17.727272727272727
2025-01,APAC,Singapore,Front Office,Discretionary,31.818181818181824
2025-01,APAC,Singapore,Front Office,Execution-only,13.181818181818183
2025-01,APAC,Singapore,Front Office,Lombard Lending,15.909090909090908
2025-01,APAC,Singapore,Front Office,Structured Products,20.454545454545453
2025-01,APAC,Singapore,Operations,Advisory,30.000000000000004
2025-01,APAC,Singapore,Operations,Discretionary,30.000000000000004
2025-01,APAC,Singapore,Operations,Execution-only,21.818181818181813
2025-01,APAC,Singapore,Operations,Lombard Lending,35.45454545454545
2025-01,APAC,Singapore,Operations,Structured Products,17.727272727272727
2025-01,Americas,New York,Client Onboarding,Advisory,18.636363636363637
2025-01,Americas,New York,Client Onboarding,Discretionary,12.272727272727273
2025-01,Americas,New York,Client Onboarding,Execution-only,16.818181818181817
2025-01,Americas,New York,Client Onboarding,Lombard Lending,19.545454545454543
2025-01,Americas,New York,Client Onboarding,Structured Products,14.545454545454545
2025-01,Americas,New York,Compliance & Controls,Advisory,8.636363636363635
2025-01,Americas,New York,Compliance & Controls,Discretionary,2.7272727272727266
2025-01,Americas,New York,Compliance & Controls,Execution-only,19.09090909090909
2025-01,Americas,New York,Compliance & Controls,Lombard Lending,3.6363636363636362
2025-01,Americas,New York,Compliance & Controls,Structured Products,24.545454545454547
2025-01,Americas,New York,Front Office,Advisory,23.18181818181818
2025-01,Americas,New York,Front Office,Discretionary,6.363636363636364
2025-01,Americas,New York,Front Office,Execution-only,24.09090909090909
2025-01,Americas,New York,Front Office,Lombard Lending,21.36363636363636
